"","Year","Site","N_coord","W_coord","Area_monitored_m2","Transect_number","Abudefduf_declivifrons","Abudefduf_troschelii","Acanthurus_achilles","Acanthurus_nigricans","Acanthurus_triostegus","Acanthurus_xanthopterus","Alphestes_immaculatus","Aluterus_scriptus","Anisotremus_interruptus","Anisotremus_taeniatus","Arothron_hispidus","Arothron_meleagris","Balistes_polylepis","Bodianus_diplotaenia","Calamus_brachysomus","Calotomus_carolinus","Cantherhines_dumerilii","Canthigaster_punctatissima","Caranx_sp","Cephalopholis_colonus","Cephalopholis_panamensis","Chaetodon_humeralis","Chanos_chanos","Chilomycterus_reticulatus","Chromis_alta","Chromis_atrilobata","Chromis_limbaughi","Cirrhitichthys_oxycephalus","Cirrhitus_rivulatus","Diodon_holocanthus","Diodon_hystrix","Elops_affinis","Epinephelus_labriformis","Epinephelus_quinquefasciatus","Fistularia_commersonii","Forcipiger_flavissimus","Girella_simplicidens","Gnathanodon_speciosus","Haemulon_flaviguttatum","Haemulon_maculicauda","Haemulon_scudderii","Haemulon_sexfasciatum","Haemulon_steindachneri","Halichoeres_chierchiae","Halichoeres_dispilus","Halichoeres_melanotis","Halichoeres_nicholsi","Halichoeres_notospilus","Halichoeres_semicinctus","Holacanthus_clarionensis","Holacanthus_passer","Hoplopagrus_guentherii","Johnrandallia_nigrirostris","Kyphosus_sp","Lutjanus_aratus","Lutjanus_argentiventris","Lutjanus_colorado","Lutjanus_guttatus","Lutjanus_inermis","Lutjanus_novemfasciatus","Lutjanus_viridis","Melichthys_niger","Microspathodon_dorsalis","Mulloidichthys_dentatus","Mycteroperca_jordani","Mycteroperca_prionura","Mycteroperca_rosacea","Mycteroperca_xenarcha","Nicholsina_denticulata","Novaculichthys_taeniourus","Ophioblennius_steindachneri","Ostracion_meleagris","Oxycirrhites_typus","Pareques_sp","Plagiotremus_azaleus","Pomacanthus_zonipectus","Prionurus_laticlavius","Pseudobalistes_naufragium","Rypticus_bicolor","Scarus_compressus","Scarus_ghobban","Scarus_perrico","Scarus_rubroviolaceus","Scomberomorus_sierra","Seriola_lalandi","Seriola_rivoliana","Serranus_psittacinus","Sphoeroides_annulatus","Sphoeroides_lobatus","Stegastes_acapulcoensis","Stegastes_flavilatus","Stegastes_leucorus","Stegastes_rectrifaenum","Sufflamen_verres","Synodus_lacertinus","Thalassoma_grammaticum","Thalassoma_lucasanum","Trachinotus_rhodopus","Xyrichthys_pavo","Zanclus_cornutus","Nb_sp","Tot_weight","min_Axis.1","min_Axis.2","min_Axis.3","min_Axis.4","min_Axis.5","max_Axis.1","max_Axis.2","max_Axis.3","max_Axis.4","max_Axis.5","range_Axis.1","range_Axis.2","range_Axis.3","range_Axis.4","range_Axis.5","FIde_Axis.1","FIde_Axis.2","FIde_Axis.3","FIde_Axis.4","FIde_Axis.5","FRic","FDiv","FEve","FDis","FSpe","FOri"
"2007Cantil",1,"Cantil",23.43973468,-109.4111893,157,11,0,0,0,0.231615518,0,0.05790388,0.05790388,0,0,0,0,0.115807759,0.115807759,2.721482339,0,0,0,1.795020266,0,52.92414592,0,0,0,0,0,56.91951361,0,4.284887087,0,0.521134916,0.173711639,0,0.984365953,0,0.173711639,0,0,0,0,0,0,0,0,0.115807759,1.27388535,0.347423277,0.231615518,0,0,0,1.447596989,0,0.173711639,0.173711639,0,0,1.737116387,0,0,0,0,0,0,1.158077591,0,0,1.389693109,0,0,0,0.05790388,0,0,0,0.05790388,0,5.095541401,0,0,0.231615518,0.115807759,0.173711639,0.868558193,0,0,0,0.173711639,0,0,0,1.33178923,0,2.60567458,1.158077591,0.694846555,0.231615518,28.83613202,0,0,0,38,170.758540826,-0.31526204966462,-0.365120475976801,-0.259219912229895,-0.217538161369367,-0.230331777045163,0.21846976198706,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.53373181165168,0.794927233826462,0.546987781652845,0.553087987302954,0.484798689500227,0.0925829279391649,0.270328425957914,-0.146618141173735,-0.0459428411155829,-0.00868795911590249,0.315242,0.981147,0.517823,0.526849747534001,0.733781712668548,0.44403425521245
"2007Chopitos-Casitas",1,"Chopitos-Casitas",23.40370307,-109.4168574,78.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.123142251,0,0,0,0,0,0,0,0,0,8.280254777,0,0.42462845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42462845,3.609341826,0,1.061571125,0.42462845,0,0,0.42462845,0,0,6.581740977,0,0,0,0,0,0,0,0,0.42462845,0,0,0,0,0,0,0,0,0,0,0,0.212314225,0,0,0,0,0,0.212314225,0,0,0,0,0,2.123142251,0,0,0,0.8492569,0,11.0403397,1.061571125,0.212314225,0.42462845,19.5329087,0,0,0,19,59.447983007,-0.31526204966462,-0.309772270332159,-0.230115550015387,-0.163150606334805,-0.12247990070148,0.0714390808949641,0.229356287758008,0.28776786942295,0.335549825933587,0.128890813255094,0.386701130559585,0.539128558090168,0.517883419438337,0.498700432268392,0.251370713956574,-0.10472951558772,0.11707540002361,-0.0742844683565267,0.00639820979643147,-0.019912949750952,0.04047,0.899091,0.496553,0.605694081235427,0.584740940898546,0.343966328847053
"2007Navajas",1,"Navajas",23.44524538,-109.4178619,78.5,6,0,0,0,0.8492569,0,2.123142251,0,0,0,0,0,0,0.42462845,1.486199575,0,0,0,1.061571125,0,0,0,0,0,0,0,22.92993631,0,12.52653928,0,0.636942675,0,0,0.636942675,0,0,0,0,0,0,0,0,0,0,1.061571125,2.547770701,0,0.636942675,0,2.123142251,0,3.184713376,0.212314225,1.27388535,0,0,0,0.212314225,0,0,0,0,0,0,0.636942675,0,0,1.061571125,0,0,0,0,0,0,0,0,0,30.36093418,0,0,0,1.27388535,0.636942675,0.212314225,0,0,0,0.8492569,0,0,0,1.6985138,0,3.609341826,1.486199575,0,0.636942675,39.06581741,0,0,0.42462845,30,135.881104035,-0.31526204966462,-0.365120475976801,-0.259219912229895,-0.217538161369367,-0.230331777045163,0.197256953918577,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.512519003583198,0.794927233826462,0.546987781652845,0.553087987302954,0.484798689500227,-0.000468861216366608,0.188060141227381,-0.11058115299587,-0.00934616179048647,0.0270269254084076,0.199718,0.945288,0.505769,0.623681297160967,0.640162473597764,0.520797764959654
"2008Cantil",2,"Cantil",23.43973468,-109.4111893,278.5,22,0,0,0,0.048963604,0,0.26113922,0,0,0.016321201,0,0,0.408030031,0.244818019,0.571242043,0.016321201,0,0,0.946629672,4.896360372,2.595070997,0.114248409,0.016321201,0,0,0,24.26962624,0,2.595070997,0,0.228496817,0.081606006,0,0.081606006,0,0.032642402,0.032642402,0,0,0.65284805,0,0,0.016321201,0,0.195854415,0.424351232,0,0.342745226,0,0,0,0.554920842,0,0.195854415,3.378488657,0,0,0.212175616,0,0,0,0.293781622,0,0,1.403623307,0,0,0.293781622,0,0,0,0.865023666,0,0,0,0.244818019,0,3.117349437,0,0,0.016321201,0.293781622,0.195854415,5.679778032,0,0,0,0.277460421,0,0,0,0.26113922,0,1.109841684,0.408030031,0.032642402,0.13056961,39.75844622,0,0,0,45,97.812959025,-0.31526204966462,-0.365120475976801,-0.263762437448512,-0.275454082949749,-0.230331777045163,0.40199144481392,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.717253494478541,0.794927233826462,0.551530306871462,0.611003908883336,0.484798689500227,0.0409137357338255,0.226307002178698,-0.141268337883176,-0.063118850910491,-0.0335632062855947,0.469113,0.971726,0.509108,0.563448326588532,0.690808069729917,0.441070041208245
"2008Chopitos-Casitas",2,"Chopitos-Casitas",23.40370307,-109.4168574,78.5,6,0,48.19532909,0,0,0,0.212314225,0,0,0,0,0,0,0.212314225,0.8492569,0,0,0,1.910828025,0,0,0,0,0,0,0,0,0,1.486199575,0,0.212314225,0,0,0.212314225,0,0,0,0,0,0,0,0,0,0,9.129511677,10.40339703,0,0.8492569,0,0,0,0,0,0.42462845,8.492569002,0,0,0,0,0,0,0,0,0,1.6985138,0,0,0,0,0,0,0,0,0,0,0.8492569,0,14.4373673,0,0,0.212314225,5.944798301,0,0.212314225,0,0,0,3.184713376,0,0,0,2.972399151,0,17.62208068,0.212314225,0,0.8492569,32.69639066,0,0,0,25,163.481953292,-0.31526204966462,-0.347931600486176,-0.230115550015387,-0.184466289169344,-0.12247990070148,0.124471912014523,0.307133925581835,0.28776786942295,0.335549825933587,0.254466912455063,0.439733961679143,0.655065526068011,0.517883419438337,0.520016115102931,0.376946813156543,-0.0437066787768205,0.163970462399455,-0.0874066820191546,-0.0289306010420059,0.0100616525900815,0.102767,0.907747,0.428472,0.59048214918597,0.594498086917688,0.314464810648128
"2008Navajas",2,"Navajas",23.44524538,-109.4178619,100,3,0,0,0,0,0,0,0,0,0,11.33333333,0,0.333333333,0,0.333333333,0,0,0,4,0,0,0,0,0,0,0,1,0,4,0.333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,1.333333333,0,0.666666667,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0.666666667,0,0,0,0,0.333333333,0,0,0,0,0,10,1.333333333,0,1,120.6666667,0,0,0,19,171.333333362,-0.31526204966462,-0.347931600486176,-0.259219912229895,-0.16416778670685,-0.166508132765428,0.322043285883061,0.429806757849661,0.216122399837276,0.335549825933587,0.254466912455063,0.637305335547681,0.777738358335837,0.475342312067171,0.499717612640437,0.420975045220491,-0.0174550373495233,0.163873065751128,-0.179980572582694,-0.09229910184765,-0.0409528585693711,0.093163,0.968375,0.604758,0.412747721222727,0.626925863808239,0.505866142950098
"2009Bajo",3,"Bajo",23.45780716,-109.405278,100,4,0,0,0,0,0,0.25,0,0,0,0,0,1.25,1.25,9.25,0,0,0,0.75,0,7.75,0,0,0,0,18.75,0,0,23.5,0,2,0.5,0,0.25,0,1.25,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,1.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.25,0,0,0,1,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,1,0,0,69.5,0,0,0,22,214,-0.31526204966462,-0.347931600486176,-0.230115550015387,-0.16416778670685,-0.230331777045163,0.21846976198706,0.288369775222043,0.216122399837276,0.335549825933587,0.254466912455063,0.53373181165168,0.636301375708219,0.446237949852663,0.499717612640437,0.484798689500227,-0.0790102522421545,0.110164444435632,-0.104555104344683,-0.0547003422536489,-0.0372191011167757,0.14877,0.764733,0.465103,0.525432597324717,0.546411666251964,0.391865888269056
"2009Cantil",3,"Cantil",23.43973468,-109.4111893,200,6,0,0,0,0,0,0.083333333,0,0,0,0,0,1.833333333,0,4.666666667,0,0,0,0.916666667,0,0.666666667,0.083333333,0,0,0,37.08333333,0,0,6.25,0,0.083333333,0,0,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0,2.083333333,0,0.083333333,0,0,0.083333333,0,0,0,0,0.166666667,0,0,0,0,0,0.5,0,0,0,0.083333333,0,0,0,0.916666667,0,32.66666667,0,0,0,0.166666667,0.833333333,0.25,0,0,0,0,0,0,0,0.75,0,0.333333333,0.916666667,0,0.25,33.75,0,0,0,27,126.333333333,-0.31526204966462,-0.347931600486176,-0.263762437448512,-0.16416778670685,-0.230331777045163,0.36797733110349,0.288369775222043,0.28776786942295,0.335549825933587,0.254466912455063,0.683239380768111,0.636301375708219,0.551530306871462,0.499717612640437,0.484798689500227,-0.0413627917430458,0.167256522389767,-0.0671660343390442,-0.0353806051238315,-0.0156148781167909,0.235308,0.92743,0.503658,0.563198404683784,0.577646304134537,0.54738225627764
"2009Chopitos-Casitas",3,"Chopitos-Casitas",23.40370307,-109.4168574,100,4,0,0,0,0.25,0,0,0,0,0,0,0,0,0,2.5,0,0,0,1.75,0,0,0.25,0,0,0,32.5,0,0,2.75,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,1,1.75,1.5,0,0,0,0.75,0,9.25,1.5,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.25,10.5,0,0,0,0,0,1.75,0,0,0,0,0,0,0,3,0,4.75,0,0,1.25,72.75,0,1,0,25,156.75,-0.31526204966462,-0.347931600486176,-0.263762437448512,-0.209274478497611,-0.204820891482057,0.135503538092868,0.251391735045584,0.220412565336826,0.335549825933587,0.254466912455063,0.450765587757488,0.59932333553176,0.484175002785338,0.544824304431198,0.45928780393712,-0.057544641451537,0.168726148701893,-0.125416397759527,-0.0730453262059753,-0.0600085432225555,0.10397,0.931881,0.504919,0.467218058303354,0.591606861768885,0.45942839996583
"2009Islote",3,"Islote",23.40785035,-109.413471,100,8,0,0,0,0,0,0.125,0,0,0,0,0,0.5,0,3.75,0,0,0,0.75,7.5,4.25,0,0,0,0,67.75,0,0,4.5,0,6,0.125,0,0.125,0,0,0,0,0,0,0,0,0,0,0.875,12.25,0,0.5,0,0,0,5.875,0,1.625,0,0,0.125,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.125,0,0,0,0.375,0.125,2.875,0,0,0.25,0.25,0.125,0.375,0,0,0,0.375,0,0,0,0,0,0.25,1.125,0,0,6.375,0,0.25,0,31,131,-0.31526204966462,-0.347931600486176,-0.230115550015387,-0.209274478497611,-0.230331777045163,0.40199144481392,0.288369775222043,0.28776786942295,0.335549825933587,0.254466912455063,0.717253494478541,0.636301375708219,0.517883419438337,0.544824304431198,0.484798689500227,-0.0706536481461539,0.133552702731673,-0.0492339993209939,-0.0374807529386629,-0.108759666248646,0.253735,0.829747,0.511458,0.488610839841515,0.567150866570612,0.378376783701326
