"","Tachuelas","Rodadero-Gavilanes","Navajas","Chopitos-Casitas","Frailes-Lobera","Islote","Cantil","Morros","Cien-Esperanza","Bajo"
"X2003.01.16",30.8388148716518,32.1597814559937,32.0865290959676,32.2167992591858,32.4670969645182,32.2347804478237,32.1722242832184,31.8811807632446,32.2296130657196,31.8271366755168
"X2003.02.15",38.6503938947405,37.2766814231873,37.4939047495524,37.6660361289978,37.735299428304,37.8434459141323,37.8062772750854,37.4305377006531,38.1261706352234,37.3680871327718
"X2003.03.16",44.4619527544294,44.212872505188,44.6941452026367,44.7518739700317,45.2812964121501,44.7289483206613,44.8579359054565,44.9098534584045,45.1186375617981,45.0252965291341
"X2003.04.16",46.3598752702986,45.4050259590149,45.4116446177165,45.0105528831482,45.0661036173503,45.0426308768136,45.2710800170898,45.9468746185303,44.9532313346863,45.9861507415771
"X2003.05.16",57.6824656895229,57.295193195343,56.9781150817871,56.6839065551758,57.2301909128825,56.8161724635533,56.9296607971191,57.5375552177429,57.0533056259155,57.3646284739176
"X2003.06.16",59.4908180236816,58.1339106559753,58.0208339691162,58.2363395690918,58.8601996103923,58.2858619689941,57.9688057899475,58.4000525474548,58.055408000946,58.2934538523356
"X2003.07.16",56.9911608014788,56.3385744094849,56.7366224924723,56.8755559921265,57.2826824188232,56.8481167384556,56.8280329704285,56.7505526542664,56.8241477012634,56.7807807922363
"X2003.08.16",49.0418641226632,47.8389101028442,46.9145050048828,47.6254186630249,47.7130788167318,47.7150824410575,47.0785388946533,47.4997539520264,47.3988065719604,47.7006842295329
"X2003.09.16",49.4225006103516,48.8396978378296,48.0808792114258,48.8069310188293,49.8082345326742,48.5569163731166,48.1422867774963,47.7567944526672,48.3302602767944,47.617530186971
"X2003.10.16",44.2248148236956,42.740318775177,42.6522738138835,42.5249333381653,42.9908250172933,42.5149906703404,42.5733242034912,43.1017889976501,42.4051656723022,42.9320176442464
"X2003.11.16",36.3754692077637,36.8451986312866,36.5664215087891,36.2382311820984,36.2317117055257,36.3311767578125,36.5317802429199,36.4840712547302,36.3223738670349,36.4222316741943
"X2003.12.16",33.1512271336147,32.0617432594299,31.477380434672,31.8223814964294,32.2718909581502,31.6584358215332,31.4358882904053,31.5997953414917,31.3808879852295,31.4808994928996
"X2004.01.16",32.1572775159563,31.8087770938873,31.2260808944702,31.3380722999573,31.8260246912638,30.96559715271,31.1228973865509,31.2138104438782,30.9234757423401,31.0268977483114
"X2004.02.15",39.1305345807757,39.0819129943848,39.0498873392741,38.2956137657166,38.6647345225016,38.1936743600028,38.900586605072,38.7770457267761,38.3671193122864,38.6889012654622
"X2004.03.16",49.5062544686454,48.5295252799988,48.4150155385335,47.9209198951721,48.2810637156169,47.9930594308036,48.5428857803345,48.8599328994751,48.4785723686218,48.9879875183105
