"","Tachuelas","Rodadero-Gavilanes","Navajas","Chopitos-Casitas","Frailes-Lobera","Islote","Cantil","Morros","Cien-Esperanza","Bajo"
"X2003.01.16",23.4037275314331,23.3845745722453,23.3962027231852,23.4006075177874,23.2500713348389,23.4179646628244,23.4002923965454,23.4524221420288,23.449684381485,23.4593633015951
"X2003.02.15",23.1180480957031,23.0885805402483,23.099186261495,22.9877041407994,23.0374093055725,22.9889289311,23.1111760139465,23.1131801605225,23.1081030368805,23.1260261535645
"X2003.03.16",22.9284261067708,23.112995783488,22.8404000600179,23.0060409545898,23.2419174194336,22.855541229248,22.8587551116943,22.8481125831604,22.7667150497437,22.8436307907104
"X2003.04.16",23.497501373291,23.6247215270996,23.5372910499573,23.8859125773112,23.7166666984558,23.6859124501546,23.3560905456543,23.5359077453613,23.2265174388885,23.5410712560018
"X2003.05.16",24.9345544179281,24.8475049336751,24.9730539321899,25.2081810633341,25.3906211853027,25.1836735407511,25.0563125610352,25.2240271568298,25.2121725082397,25.3001613616943
"X2003.06.16",27.235381603241,27.1512168884277,27.2455418904622,27.191624323527,27.067289352417,27.2484159469604,27.3109164237976,27.1331672668457,27.3552761077881,27.1617110570272
"X2003.07.16",27.9428544044495,28.602970123291,28.582914352417,28.263094493321,28.211350440979,28.433173588344,28.686110496521,28.5494790077209,28.6417491436005,28.5670979817708
"X2003.08.16",30.1756191253662,30.2142473856608,30.0144068400065,30.0737899144491,30.0836973190308,30.063694636027,29.9320187568665,29.8860716819763,29.9319961071014,29.8100862503052
"X2003.09.16",29.8872419993083,29.9135853449504,29.7771043777466,29.9791520436605,29.9760585784912,29.947634379069,29.7545461654663,29.8668048381805,29.7828130722046,29.8496472040812
"X2003.10.16",29.5222086906433,30.0004059473674,30.067759513855,30.0297648111979,29.8980377197266,29.9968484242757,30.0393280982971,30.1647441387177,30.0351049900055,30.1828883488973
"X2003.11.16",26.4404702186584,26.6967754364014,26.736457824707,26.7039241790771,26.7291511535645,26.6720492045085,26.7378928661346,26.7605936527252,26.6932797431946,26.7808882395426
"X2003.12.16",23.3033690452576,23.7397136688232,23.6781104405721,23.56165599823,23.7120447158813,23.5508228937785,23.6550731658936,23.5776567459106,23.5998227596283,23.5910978317261
"X2004.01.16",21.2879043579102,21.3638788859049,21.3372554779053,21.3906190054757,21.49049949646,21.3741013663156,21.3625512123108,21.3466029167175,21.3945019245148,21.3367007573446
"X2004.02.15",20.7151560783386,20.7385425567627,20.7462860107422,20.8248093922933,20.7335414886475,20.8549483617147,20.7784312111991,20.7621240615845,20.8449418544769,20.77370262146
"X2004.03.16",22.2465133666992,22.8421634038289,22.9409402211507,22.6795457204183,22.7848106384277,22.7097543080648,22.8908507823944,22.6357474327087,22.751401424408,22.7604608535767
"X2004.04.16",23.1416397094727,23.1679682731628,23.2096588134766,23.1456228892008,23.2660245895386,23.1346111297607,23.1860103607178,23.1450750827789,23.1013004779816,23.1839335759481
"X2004.05.16",25.5737495422363,25.4737083435059,25.4090503692627,25.6325607299805,25.4958028793335,25.6446364720662,25.4827790941511,25.5947527885437,25.5199127197266,25.5819104512533
"X2004.06.16",28.2604630788167,27.9540266990662,27.9166000366211,27.5107463200887,27.9415621757507,27.4566720326742,27.822427204677,27.6937692165375,27.6324865818024,27.7142963409424
"X2004.07.16",29.5516668955485,29.3729286193848,29.083910369873,29.4062776565552,29.555917263031,29.3324578603109,29.1724714551653,29.3234674930573,29.2266108989716,29.2526791890462
"X2004.08.16",29.8691253662109,30.1567322413127,30.2942419052124,30.2041864395142,30.2822765350342,30.276162147522,30.3538143634796,30.4939680099487,30.3869347572327,30.5307416915894
"X2004.09.16",29.7868065834045,29.566321182251,29.5400016784668,29.7118644714355,29.575936126709,29.6608645121257,29.5675343104771,29.6255614757538,29.619113445282,29.6326580047607
"X2004.10.16",29.3956743876139,29.4060166676839,29.3700145085653,29.6467221577962,29.4973175048828,29.5550553003947,29.3475103378296,29.3345575332642,29.4043788909912,29.3531017303467
"X2004.11.16",26.6357128143311,26.5301583607992,26.3298927942912,26.1428833007812,26.3010189056396,26.144237836202,26.2532477378845,26.3712832927704,26.218414068222,26.3679892222087
"X2004.12.16",22.6268391609192,23.0880358559745,23.0718132654826,23.2280238469442,23.1689577102661,23.2547594706217,23.1006510257721,23.0787713527679,23.2034847736359,23.0645287831624
"X2005.01.16",22.0909385681152,21.973264058431,22.0006345113118,22.0119813283284,21.9568753242493,21.9389813741048,21.9824447631836,21.9185421466827,21.9183578491211,21.9138895670573
"X2005.02.15",21.9368597666423,21.7734008789063,21.7777506510417,21.908083597819,21.755233001709,21.8994725545247,21.8023128509521,22.0425541400909,21.9462711811066,22.022452990214
"X2005.03.16",21.6181254386902,21.4866241455078,21.5412269592285,21.3002084096273,21.3971185684204,21.3091669082642,21.490072795323,21.5983760356903,21.3633539676666,21.6107050577799
"X2005.04.16",22.597500483195,22.3607501983643,22.5345165252686,23.2341663360596,22.80162525177,23.1439167022705,22.6346190316337,22.6728341579437,22.8073897361755,22.686100323995
"X2005.05.16",24.5544446309408,25.0747211456299,25.0792630513509,24.7993081410726,25.0641870498657,24.855975151062,25.077219247818,25.1094706058502,25.0137543678284,25.1168893178304
"X2005.06.16",24.2820830345154,24.5846698760986,24.6387229919434,24.4244623184204,24.3870058059692,24.4728790918986,24.6322283063616,24.5366809368134,24.6116952896118,24.5275605519613
"X2005.07.16",27.005926767985,27.2805678049723,27.3519598642985,27.2980550130208,27.4921164512634,26.989906946818,27.2724978923798,27.1877655982971,27.1224162578583,27.1815147399902
"X2005.08.16",29.9045143127441,29.9006207784017,29.7820914586385,29.8562519073486,29.7266746520996,29.8710472106934,29.7883191108704,29.8068838119507,29.8209881782532,29.7584549585978
"X2005.09.16",30.319554011027,30.7467425664266,30.8965644836426,30.9228213628133,30.993833065033,30.8738422393799,30.9290640354156,31.0354816913605,30.959130525589,31.1271702448527
"X2005.10.16",28.8676420847575,28.8433448791504,28.8685447692871,28.9820696512858,29.0916034698486,29.0004030863444,28.8925031934466,28.986341714859,28.9964938163757,28.9730037053426
"X2005.11.16",26.9206833839417,26.9576298395793,26.8899552027384,27.0426578521729,26.4926856994629,27.0876229604085,26.9179611206055,26.9286336898804,26.9912528991699,26.9240719477336
"X2005.12.16",22.8048753738403,22.6476538976034,22.6137247085571,22.4291413625081,22.2893490791321,22.4047520955404,22.5532565116882,22.5484480857849,22.4241876602173,22.5749940872192
"X2006.01.16",20.5961907704671,20.4772915840149,20.5407291412354,20.6975415547689,20.7245321273804,20.6554581324259,20.6225049155099,20.6823961734772,20.7470664978027,20.6929171880086
"X2006.02.15",20.6777776082357,20.651042620341,20.7669941584269,20.9945930480957,20.85151720047,21.0260482788086,20.829293012619,20.7565531730652,20.9583930969238,20.8070281346639
"X2006.03.16",21.4011116027832,21.8592571258545,21.9205005645752,21.58220799764,21.8783130645752,21.6398379007975,21.9188788277762,21.8672420978546,21.8577845096588,21.8906087875366
"X2006.04.16",23.7927945454915,23.7225618362427,23.9019578297933,23.7533585230509,23.822699546814,23.8639898300171,23.9021697044373,24.1668393611908,24.0018298625946,24.2172196706136
"X2006.05.16",26.1051203409831,25.9857811927795,26.0051788330078,26.3079573313395,26.3532266616821,26.3189573287964,26.0514054979597,26.006689786911,26.2162647247314,25.986891746521
"X2006.06.16",28.0799999237061,27.6703564325968,27.6995801925659,27.7155078252157,27.9671447753906,27.7770913441976,27.7830765247345,28.0355670452118,27.9361889362335,28.0527645746867
"X2006.07.16",30.2480951944987,29.9397120475769,29.8953266143799,29.882176399231,29.5530860900879,30.0324741999308,29.9573064531599,29.9608087539673,29.9581027030945,29.9304167429606
"X2006.08.16",30.1667868296305,30.2248423894246,30.3229621251424,30.1447315216064,30.2077854156494,30.2712939580282,30.3189008235931,30.2870004177094,30.1960065364838,30.272092183431
"X2006.09.16",30.377049446106,30.6005064646403,30.4214172363281,30.5783726828439,30.6120712280273,30.546270098005,30.4541704654694,30.2672646045685,30.449343919754,30.2298002243042
"X2006.10.16",29.8409271240234,30.0111986796061,29.9272778828939,30.124298731486,30.0436634063721,30.1061067581177,29.9513342380524,30.1443746089935,30.0919787883759,30.1301558812459
"X2006.11.16",27.7913851737976,27.5266339438302,27.640204111735,27.8110392888387,27.8054077148437,27.7636753718058,27.6616594791412,27.6614656448364,27.7309854030609,27.6823635101318
"X2006.12.16",24.3820006052653,24.2089459101359,24.0721661249797,24.2164859771729,23.9560508728027,24.2255773544312,24.0989038944244,24.0666770935059,24.1650834083557,24.0475511550903
"X2007.01.16",21.4533061981201,21.5634164810181,21.6739441553752,21.6199935277303,21.7852001190186,21.5882670084635,21.6430258750916,21.61199259758,21.6192307472229,21.6373325983683
"X2007.02.15",21.7685553232829,21.7396666208903,21.8119583129883,21.9815743764242,22.1726192474365,21.9298375447591,21.8232707977295,21.8961255550385,21.8896958827972,21.9035008748372
"X2007.03.16",21.9875626564026,22.4267228444417,22.5122133890788,22.5559551239014,22.4039449691772,22.6657333374023,22.5812468528748,22.4265549182892,22.4476521015167,22.4206450780233
"X2007.04.16",23.1253337860107,23.4048323631287,23.4281314849854,23.388334274292,23.2623615264893,23.4428672790527,23.4178668430873,23.4755985736847,23.4633925301688,23.474863688151
"X2007.05.16",25.6469999949137,25.4231465657552,25.0901209513346,25.9762856165568,25.8678165435791,25.8843415578206,25.1024610996246,25.5470345020294,25.3960471153259,25.389323870341
"X2007.06.16",25.664722442627,24.9561222076416,24.861083984375,25.2796548207601,25.0926957130432,25.1807661056519,24.8303437914167,24.6821575164795,24.9230680465698,24.614400545756
"X2007.07.16",27.2986113230387,27.7372570037842,27.5436725616455,26.9742921193441,27.270565032959,26.6641530990601,27.2864956855774,26.8457534313202,26.5569818019867,26.7240600585938
"X2007.08.16",30.0167249043783,29.6232662200928,29.6536553700765,30.0017493565877,30.0935416221619,29.9484577178955,29.69295835495,29.772602558136,29.8159577846527,29.7793032328288
"X2007.09.16",29.2356255849202,28.7506308555603,28.762260055542,29.1283591588338,29.3169784545898,29.0450531641642,28.7676102774484,28.769364118576,28.8369781970978,28.8072538375854
"X2007.10.16",29.2694640159607,29.2791973749797,29.3414786656698,29.4072123936244,29.3656549453735,29.3734501429967,29.3077132701874,29.3845267295837,29.3008201122284,29.3755429585775
